id	base_item_id	rank	item_id	score
1	1	1.0	7	1.0
2	1	2.0	2	0.8088705946398514
3	1	3.0	3	0.5265920273985244
4	2	1.0	7	0.8971669991132185
5	2	2.0	1	0.8088705946398514
6	2	3.0	3	0.6825617755967791
7	3	1.0	2	0.6825617755967791
8	3	2.0	1	0.5265920273985244
9	3	3.0	7	0.3651894259675221
10	4	1.0	8	1.0
11	4	2.0	5	0.5716619504750293
12	4	3.0	6	0.554700196225229
13	5	1.0	6	0.9999999999999998
14	5	2.0	8	0.9422221496239982
15	5	3.0	4	0.5716619504750293
16	6	1.0	8	1.0
17	6	2.0	5	0.9999999999999998
18	6	3.0	4	0.554700196225229
19	7	1.0	1	1.0
20	7	2.0	2	0.8971669991132185
21	7	3.0	3	0.3651894259675221
22	8	1.0	4	1.0
23	8	2.0	6	1.0
24	8	3.0	5	0.9422221496239982
25	9	1.0	1	0.0
26	9	2.0	2	0.0
27	9	3.0	3	0.0
